Timestamp,ช่วงอายุของผู้เล่น,ผู้ทดลองรู้สึกสนุกและเข้าใจรูปแบบการเล่นปริศนา 3 มิติหรือไม่,เกมช่วยให้เรียนรู้คำศัพท์ / ประเด็นสิ่งแวดล้อมได้มากขึ้นหรือไม่,หลังเล่นแล้วอยากเล่นด่านทวีปอื่นต่อ หรือนำแนวคิดความยั่งยืนไปใช้หรือไม่,ข้อเสนอแนะเพิ่มเติม
12/07/2026 09:37:27,17–18 ปี,ไม่พึงพอใจ,ปานกลาง,พึงพอใจมาก,ชอบธีมสิ่งแวดล้อมมาก ได้ทั้งความรู้และความสนุก
12/07/2026 11:30:38,15–16 ปี,พึงพอใจมาก,ปานกลาง,ไม่พึงพอใจ,การหมุนกล้องงงตอนแรก อยากได้ปุ่มรีเซ็ตมุมมอง
12/07/2026 11:34:11,17–18 ปี,พึงพอใจ,พึงพอใจมาก,ไม่พึงพอใจมาก,ด่านสอนการเล่นช่วยได้มาก เข้าใจง่ายขึ้น
12/07/2026 12:24:48,15–16 ปี,พึงพอใจ,ไม่พึงพอใจ,พึงพอใจ,การหมุนกล้องงงตอนแรก อยากได้ปุ่มรีเซ็ตมุมมอง
12/07/2026 23:02:57,17–18 ปี,พึงพอใจ,พึงพอใจ,พึงพอใจมาก,บางด่านคำเยอะ หมุนหาจุดตัดนานไปนิด
13/07/2026 00:26:20,12–14 ปี,ไม่พึงพอใจ,พึงพอใจมาก,ปานกลาง,เป็นไอเดียที่แปลกใหม่ดี ไม่เคยเล่นอักษรไขว้ 3 มิติมาก่อน
13/07/2026 01:04:38,15–16 ปี,พึงพอใจมาก,พึงพอใจมาก,ไม่พึงพอใจ,อยากให้เล่นบนมือถือได้ด้วย
13/07/2026 03:19:06,15–16 ปี,พึงพอใจมาก,พึงพอใจมาก,ไม่พึงพอใจ,สนุกมากครับ อยากให้มีด่านเพิ่มอีก
13/07/2026 06:15:42,17–18 ปี,พึงพอใจ,พึงพอใจมาก,ปานกลาง,อยากให้เล่นบนมือถือได้ด้วย
13/07/2026 06:39:23,17–18 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจมาก,
13/07/2026 07:13:20,15–16 ปี,พึงพอใจ,พึงพอใจมาก,พึงพอใจ,
